Sl no,unique_id,company_name,facebook_url_userinput,task_category_type,package_id,level,level_id,task_title,description,icon_url,url,facebook_page_id,target,current_reach,campaign_budget,campaign_priority,user_credits,task_category_brand_uid
5474,campaign--temp-c5474-p4-l3,GettoCar,https://www.facebook.com/1978344219120970/photos/a.1979640328991359.1073741828.1978344219120970/1979996912289034/?type=3,facebook_page_post,p4,l3,p4-l3,Like GettoCar Post,"Gettocar....making car purchases simpler, easier & economical",,,1979996912289030,10000,0,200000,1,10,facebook_page_post-1979996912289034
5475,campaign--temp-c5475-p4-l3,GettoCar,https://www.facebook.com/1978344219120970/photos/a.1979640328991359.1073741828.1978344219120970/1979638185658240/?type=3,facebook_page_post,p4,l3,p4-l3,Like GettoCar Post,Buy best-in-class certified pre-owned cars at affordable prices,,,1979638185658240,10000,0,200000,1,10,facebook_page_post-1979638185658240
5476,campaign--temp-c5476-p4-l3,GettoCar,https://www.facebook.com/1978344219120970/photos/a.1978344865787572.1073741827.1978344219120970/1978344789120913/?type=3,facebook_page_post,p4,l3,p4-l3,Like GettoCar Post,Gear up to experience your ride With GettoCar…your online partner to #sell & #buy_cars#preownedcars #Cars #Gettocar,,,1978344789120910,10000,0,200000,1,10,facebook_page_post-1978344789120913
5477,campaign--temp-c5477-p4-l3,GettoCar,https://www.facebook.com/1978344219120970/photos/a.1978344475787611.1073741826.1978344219120970/1978344479120944/?type=3,facebook_page_post,p4,l3,p4-l3,Like GettoCar Post,Gettocar,,,1978344479120940,10000,0,200000,1,10,facebook_page_post-1978344479120944
5478,campaign--temp-c5478-p4-l3,Getyaa,https://www.facebook.com/Getyaaa/photos/a.931313510354869.1073741828.786290121523876/933889896763897/?type=3,facebook_page_post,p4,l3,p4-l3,Like Getyaa Post,"Grab the best deals….Buy anything you Want, Sell Anything you Want.",http://getyaa.in/admin/uploads/general_setting/logo.png,,933889896763897,10000,0,200000,1,10,facebook_page_post-933889896763897
5479,campaign--temp-c5479-p4-l3,Getyaa,https://www.facebook.com/Getyaaa/photos/a.931313510354869.1073741828.786290121523876/932423850243835/?type=3,facebook_page_post,p4,l3,p4-l3,Like Getyaa Post,Got something to buy or sell? Getyaa connects you instantly to sellers and buyers.,http://getyaa.in/admin/uploads/general_setting/logo.png,,932423850243835,10000,0,200000,1,10,facebook_page_post-932423850243835
5480,campaign--temp-c5480-p4-l3,Getyaa,https://www.facebook.com/Getyaaa/photos/a.931313510354869.1073741828.786290121523876/931310503688503/?type=3,facebook_page_post,p4,l3,p4-l3,Like Getyaa Post,Want to buy or sell old products near you for FREE.,http://getyaa.in/admin/uploads/general_setting/logo.png,,931310503688503,10000,0,200000,1,10,facebook_page_post-931310503688503
5481,campaign--temp-c5481-p4-l3,Getyaa,https://www.facebook.com/Getyaaa/photos/a.786291768190378.1073741827.786290121523876/924420721044148/?type=3,facebook_page_post,p4,l3,p4-l3,Like Getyaa Post,"Buy anything ,Sell anything @getyaa",http://getyaa.in/admin/uploads/general_setting/logo.png,,924420721044148,10000,0,200000,1,10,facebook_page_post-924420721044148
5482,campaign--temp-c5482-p4-l3,Getyaa,https://www.facebook.com/Getyaaa/photos/a.786291354857086.1073741826.786290121523876/924420581044162/?type=3,facebook_page_post,p4,l3,p4-l3,Like Getyaa Post,"Buy anything ,Sell anything @getyaa",http://getyaa.in/admin/uploads/general_setting/logo.png,,924420581044162,10000,0,200000,1,10,facebook_page_post-924420581044162
5483,campaign--temp-c5483-p4-l3,Getyaa,https://www.facebook.com/Getyaaa/photos/a.786291354857086.1073741826.786290121523876/803610253125196/?type=3,facebook_page_post,p4,l3,p4-l3,Like Getyaa Post,"Buy anything ,Sell anything @getyaa",http://getyaa.in/admin/uploads/general_setting/logo.png,,803610253125196,10000,0,200000,1,10,facebook_page_post-803610253125196
5484,campaign--temp-c5484-p4-l3,Getyaa,https://www.facebook.com/Getyaaa/photos/a.786291768190378.1073741827.786290121523876/786291621523726/?type=3,facebook_page_post,p4,l3,p4-l3,Like Getyaa Post,"Buy anything ,Sell anything @getyaa",http://getyaa.in/admin/uploads/general_setting/logo.png,,786291621523726,10000,0,200000,1,10,facebook_page_post-786291621523726
5485,campaign--temp-c5485-p4-l3,Ivigo,https://www.facebook.com/1500135956722391/photos/a.1520081821394471.1073741828.1500135956722391/1520079361394717/?type=3,facebook_page_post,p4,l3,p4-l3,Like Ivigo Post,"Travel that extra mile, pay less & save more with Ivigoo",https://tripsndmore.com/extras/custom/TMX6961201505478207/images/TMX6961201505478207ivigoo_1.jpg,,1520079361394710,10000,0,200000,1,10,facebook_page_post-1520079361394717
5486,campaign--temp-c5486-p4-l3,Ivigo,https://www.facebook.com/1500135956722391/photos/a.1500137126722274.1073741827.1500135956722391/1500137073388946/?type=3,facebook_page_post,p4,l3,p4-l3,Like Ivigo Post,"Travel that extra mile, pay less & save more with Ivigoo",https://tripsndmore.com/extras/custom/TMX6961201505478207/images/TMX6961201505478207ivigoo_1.jpg,,1500137073388940,10000,0,200000,1,10,facebook_page_post-1500137073388946
5487,campaign--temp-c5487-p4-l3,Ivigo,https://www.facebook.com/1500135956722391/photos/a.1500136833388970.1073741826.1500135956722391/1500136836722303/?type=3,facebook_page_post,p4,l3,p4-l3,Like Ivigo Post,"Travel that extra mile, pay less & save more with Ivigoo",https://tripsndmore.com/extras/custom/TMX6961201505478207/images/TMX6961201505478207ivigoo_1.jpg,,1500136836722300,10000,0,200000,1,10,facebook_page_post-1500136836722303
5488,campaign--temp-c5488-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.185358995321698.1073741828.183696452154619/274915196366077/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,#Food #Biryani #GAFC #DUMPOT,http://gafc.co.in/temp/img/main_logo.png,,274915196366077,10000,0,200000,1,10,facebook_page_post-274915196366077
5489,campaign--temp-c5489-p4-l3,GAFC,https://www.facebook.com/GirishAsianFoodCourts/photos/a.185358995321698.1073741828.183696452154619/269472326910364/?type=3,facebook_page_post,p4,l3,p4-l3,Like Gafc Post,Tasty food with gafc,http://gafc.co.in/temp/img/main_logo.png,,269472326910364,10000,0,200000,1,10,facebook_page_post-269472326910364
